potato_(1kg),taxi_1hour_waiting_(normal_tariff),toyota_corolla_sedan_1.6l_97kw_comfort_(or_equivalent_new_car),apartment_(1_bedroom)_outside_of_centre,cigarettes_20_pack_(marlboro),water_(1.5_liter_bottle),apartment_(3_bedrooms)_in_city_centre,milk_(regular)_(1_liter),oranges_(1kg),1_pair_of_nike_running_shoes_(mid-range),1_summer_dress_in_a_chain_store_(zara_h&m_...),domestic_beer_(0.5_liter_draught),apartment_(1_bedroom)_in_city_centre,monthly_pass_(regular_price),beef_round_(1kg)_(or_equivalent_back_leg_red_meat),tennis_court_rent_(1_hour_on_weekend),cappuccino_(regular),local_cheese_(1kg),loaf_of_fresh_white_bread_(500g),price_per_square_meter_to_buy_apartment_in_city_centre,city,1_pair_of_jeans_(levis_501_or_similar),preschool_(or_kindergarten)_full_day_private_monthly_for_1_child,domestic_beer_(0.5_liter_bottle),eggs_(regular)_(12),apples_(1kg),chicken_fillets_(1kg),1_pair_of_men_leather_business_shoes,water_(0.33_liter_bottle),internet_(60_mbps_or_more_unlimited_data_cable/adsl),basic_(electricity_heating_cooling_water_garbage)_for_85m2_apartment,onion_(1kg),bottle_of_wine_(mid-range),rice_(white)_(1kg),taxi_1km_(normal_tariff),fitness_club_monthly_fee_for_1_adult,apartment_(3_bedrooms)_outside_of_centre,average_monthly_net_salary_(after_tax),1_min._of_prepaid_mobile_tariff_local_(no_discounts_or_plans),mortgage_interest_rate_in_percentages_(%)_yearly_for_20_years_fixed-rate,lettuce_(1_head),meal_inexpensive_restaurant,volkswagen_golf_1.4_90_kw_trendline_(or_equivalent_new_car),tomato_(1kg),one-way_ticket_(local_transport),gasoline_(1_liter),international_primary_school_yearly_for_1_child,cinema_international_release_1_seat,taxi_start_(normal_tariff),banana_(1kg),imported_beer_(0.33_liter_bottle),coke/pepsi_(0.33_liter_bottle),price_per_square_meter_to_buy_apartment_outside_of_centre,mcmeal_at_mcdonalds_(or_equivalent_combo_meal),meal_for_2_people_mid-range_restaurant_three-course
1.46 €,35.00 €,"26,647.63 €","1,310.48 €",5.45 €,0.60 €,"2,731.08 €",1.31 €,2.29 €,93.94 €,34.83 €,5.25 €,"1,589.09 €",0.00 €,17.70 €,19.43 €,3.55 €,16.72 €,2.80 €,"11,182.86 €",Luxembourg,67.43 €,888.19 €,1.44 €,3.41 €,2.55 €,11.28 €,109.83 €,2.94 €,50.46 €,241.88 €,1.95 €,8.00 €,2.25 €,3.00 €,40.73 €,"2,186.30 €","4,239.22 €",0.05 €,1.90,1.46 €,19.45 €,"25,000.00 €",3.81 €,0.00 €,1.61 €,"16,955.50 €",12.00 €,4.25 €,1.49 €,1.72 €,2.85 €,"7,954.76 €",10.00 €,75.00 €
2.02 Fr.,76.50 Fr.,"46,666.67 Fr.",892.86 Fr.,9.10 Fr.,1.23 Fr.,"2,281.82 Fr.",1.63 Fr.,3.03 Fr.,123.89 Fr.,47.50 Fr.,6.50 Fr.,"1,154.55 Fr.",79.00 Fr.,54.22 Fr.,23.33 Fr.,4.75 Fr.,23.04 Fr.,2.66 Fr.,"9,190.69 Fr.",Bern,109.89 Fr.,"2,133.33 Fr.",1.69 Fr.,5.55 Fr.,3.55 Fr.,25.95 Fr.,136.25 Fr.,3.77 Fr.,45.50 Fr.,275.78 Fr.,1.87 Fr.,12.00 Fr.,2.52 Fr.,4.45 Fr.,59.11 Fr.,"1,662.50 Fr.","6,106.25 Fr.",0.22 Fr.,2.49,1.87 Fr.,23.00 Fr.,"35,000.00 Fr.",3.89 Fr.,3.65 Fr.,1.92 Fr.,"29,000.00 Fr.",20.00 Fr.,6.90 Fr.,2.70 Fr.,2.09 Fr.,4.15 Fr.,"6,017.00 Fr.",15.00 Fr.,90.00 Fr.
1.50 €,30.00 €,"26,907.14 €",698.75 €,6.00 €,0.55 €,"2,100.00 €",1.65 €,2.18 €,86.25 €,34.18 €,5.00 €,"1,058.59 €",35.00 €,15.67 €,17.84 €,1.53 €,15.33 €,1.66 €,"7,045.45 €",Rome,76.50 €,483.08 €,1.49 €,3.29 €,2.32 €,9.83 €,112.00 €,1.08 €,27.48 €,211.06 €,1.56 €,6.00 €,2.31 €,1.30 €,51.69 €,"1,285.71 €","1,651.44 €",0.23 €,2.33,1.17 €,15.00 €,"24,500.00 €",2.61 €,1.50 €,1.84 €,"7,944.38 €",9.00 €,4.25 €,1.92 €,2.22 €,2.07 €,"3,363.61 €",9.25 €,70.00 €
1.00 €,22.00 €,"22,000.00 €",516.67 €,5.00 €,0.53 €,673.33 €,1.05 €,1.75 €,50.00 €,27.50 €,4.00 €,616.67 €,28.00 €,13.57 €,25.00 €,1.47 €,9.50 €,1.33 €,"2,500.00 €",San-Marino-San-Marino,55.00 €,253.33 €,1.50 €,2.29 €,1.50 €,4.00 €,49.00 €,1.38 €,36.67 €,100.00 €,1.41 €,4.00 €,1.10 €,1.30 €,60.00 €,583.33 €,"3,005.81 €",0.20 €,3.55,0.75 €,15.00 €,"21,500.00 €",1.50 €,1.50 €,1.67 €,"5,000.00 €",7.50 €,9.90 €,1.99 €,1.58 €,1.98 €,"2,500.00 €",7.33 €,60.00 €
1.41 €,30.00 €,"26,730.00 €",798.68 €,8.00 €,1.08 €,"1,697.20 €",1.18 €,2.42 €,90.69 €,32.00 €,5.00 €,955.48 €,49.00 €,16.49 €,22.12 €,3.41 €,13.26 €,2.20 €,"3,837.92 €",Brussels,79.64 €,846.88 €,2.11 €,3.33 €,2.45 €,9.79 €,120.09 €,2.25 €,51.11 €,205.95 €,1.25 €,8.00 €,1.99 €,2.00 €,30.72 €,"1,504.55 €","2,843.03 €",0.27 €,2.15,1.54 €,16.00 €,"26,622.50 €",2.76 €,2.45 €,1.86 €,"22,010.00 €",12.00 €,4.90 €,1.61 €,3.22 €,2.39 €,"3,283.33 €",9.12 €,75.00 €
1.54 €,32.50 €,"29,845.00 €","1,398.34 €",8.20 €,0.74 €,"2,722.19 €",1.15 €,1.73 €,82.15 €,27.48 €,5.00 €,"1,638.30 €",89.00 €,16.87 €,19.72 €,3.24 €,12.14 €,1.63 €,"7,640.74 €",Amsterdam,69.63 €,"1,576.10 €",1.35 €,3.73 €,2.27 €,9.77 €,97.48 €,2.19 €,41.33 €,215.81 €,1.09 €,6.00 €,2.04 €,2.40 €,35.66 €,"2,026.57 €","3,734.92 €",0.06 €,2.85,1.07 €,15.50 €,"26,349.50 €",2.93 €,3.20 €,1.97 €,"11,139.55 €",13.00 €,4.00 €,1.66 €,1.59 €,2.47 €,"5,214.98 €",10.00 €,65.00 €
1.92 €,33.00 €,"27,728.57 €",899.26 €,8.00 €,0.71 €,"2,358.33 €",1.27 €,2.65 €,86.50 €,35.71 €,4.00 €,"1,270.07 €",80.00 €,14.17 €,20.24 €,3.36 €,12.55 €,1.75 €,"7,995.60 €",Berlin,81.84 €,186.67 €,1.04 €,2.90 €,2.60 €,10.12 €,108.53 €,2.14 €,39.17 €,337.93 €,1.68 €,6.00 €,2.39 €,2.00 €,39.10 €,"1,620.98 €","2,979.77 €",0.11 €,2.89,1.41 €,12.00 €,"29,970.00 €",3.31 €,3.00 €,1.92 €,"6,718.75 €",12.00 €,4.70 €,1.76 €,1.47 €,2.60 €,"5,704.82 €",9.90 €,60.00 €
1.88 Fr.,7.01 Fr.,"33,769.39 Fr.","1,155.26 Fr.",9.00 Fr.,0.95 Fr.,"2,229.68 Fr.",1.55 Fr.,4.35 Fr.,113.46 Fr.,40.97 Fr.,5.00 Fr.,"1,243.80 Fr.",50.00 Fr.,23.00 Fr.,27.50 Fr.,4.83 Fr.,13.61 Fr.,2.99 Fr.,"7,219.33 Fr.",Vaduz-Liechtenstein,85.75 Fr.,225.00 Fr.,1.93 Fr.,6.94 Fr.,2.53 Fr.,9.62 Fr.,114.08 Fr.,3.50 Fr.,50.67 Fr.,182.36 Fr.,2.08 Fr.,15.00 Fr.,2.00 Fr.,1.03 Fr.,71.67 Fr.,"1,933.33 Fr.","6,611.11 Fr.",0.15 Fr.,7.12,1.94 Fr.,25.00 Fr.,"28,449.50 Fr.",4.50 Fr.,4.00 Fr.,1.73 Fr.,"12,240.00 Fr.",24.54 Fr.,1.60 Fr.,3.70 Fr.,2.00 Fr.,4.00 Fr.,"3,250.00 Fr.",13.00 Fr.,97.50 Fr.
1.53 €,25.00 €,"22,998.89 €",647.48 €,6.00 €,0.56 €,"1,524.15 €",1.37 €,2.21 €,80.65 €,32.23 €,4.20 €,844.70 €,45.00 €,15.00 €,16.50 €,3.42 €,10.75 €,2.04 €,"7,512.16 €",Vienna,80.06 €,238.75 €,1.06 €,3.68 €,2.23 €,10.69 €,98.86 €,2.08 €,30.15 €,215.08 €,1.41 €,6.00 €,1.91 €,1.60 €,28.35 €,"1,096.38 €","2,969.05 €",0.04 €,2.00,1.45 €,14.00 €,"26,000.00 €",3.19 €,2.40 €,1.75 €,"11,987.50 €",11.00 €,4.00 €,1.80 €,1.34 €,2.61 €,"4,488.68 €",9.00 €,60.00 €
24.02 Kč,360.00 Kč,"614,541.38 Kč","17,417.60 Kč",144.00 Kč,17.80 Kč,"43,452.23 Kč",27.01 Kč,47.24 Kč,"2,117.26 Kč",931.79 Kč,50.00 Kč,"23,310.10 Kč",550.00 Kč,314.63 Kč,414.38 Kč,69.58 Kč,282.48 Kč,39.68 Kč,"190,426.83 Kč",Prague,"1,976.11 Kč","18,062.50 Kč",23.50 Kč,75.95 Kč,40.77 Kč,203.52 Kč,"2,582.33 Kč",31.53 Kč,540.64 Kč,"7,216.99 Kč",25.43 Kč,150.00 Kč,57.88 Kč,28.50 Kč,"1,365.13 Kč","30,542.62 Kč","42,590.49 Kč",3.76 Kč,6.29,33.23 Kč,225.10 Kč,"603,450.00 Kč",81.49 Kč,32.00 Kč,38.63 Kč,"307,942.31 Kč",250.00 Kč,45.00 Kč,40.08 Kč,38.56 Kč,37.87 Kč,"133,644.44 Kč",190.00 Kč,"1,200.00 Kč"
3.54 zł,40.00 zł,"102,529.63 zł","2,903.85 zł",18.00 zł,2.49 zł,"7,539.13 zł",4.09 zł,7.15 zł,361.28 zł,147.01 zł,14.00 zł,"3,823.58 zł",110.00 zł,47.11 zł,79.52 zł,13.68 zł,37.35 zł,4.59 zł,"20,474.44 zł",Warsaw,327.18 zł,"1,877.04 zł",4.28 zł,12.37 zł,3.93 zł,24.81 zł,399.51 zł,6.54 zł,58.66 zł,"1,157.47 zł",4.03 zł,30.00 zł,6.60 zł,3.00 zł,147.93 zł,"5,197.71 zł","6,141.64 zł",0.43 zł,8.08,5.03 zł,40.00 zł,"109,500.00 zł",14.12 zł,4.40 zł,6.86 zł,"47,204.00 zł",30.00 zł,8.00 zł,6.43 zł,6.39 zł,7.12 zł,"12,443.93 zł",29.25 zł,200.00 zł
0.77 €,9.60 €,"24,725.00 €",498.81 €,4.55 €,0.76 €,"1,362.64 €",1.38 €,1.75 €,79.80 €,32.96 €,4.30 €,744.87 €,29.00 €,9.71 €,26.00 €,2.82 €,10.40 €,1.43 €,"4,149.15 €",Vilnius,72.30 €,445.75 €,1.38 €,2.34 €,1.34 €,7.27 €,96.11 €,1.60 €,13.71 €,202.31 €,0.68 €,8.00 €,2.17 €,0.75 €,31.29 €,855.21 €,"1,260.78 €",0.17 €,2.74,1.31 €,10.00 €,"25,000.00 €",2.75 €,0.65 €,1.74 €,"7,964.54 €",8.00 €,1.25 €,1.57 €,1.68 €,2.11 €,"2,546.05 €",7.00 €,60.00 €
0.88 €,9.80 €,"22,349.23 €",301.11 €,4.50 €,0.75 €,820.83 €,1.32 €,1.85 €,71.84 €,41.75 €,4.00 €,449.19 €,30.00 €,10.65 €,22.59 €,2.70 €,9.82 €,1.26 €,"2,408.10 €",Riga,66.21 €,360.56 €,1.57 €,2.47 €,1.40 €,6.98 €,101.96 €,1.11 €,18.18 €,320.25 €,0.71 €,7.00 €,2.24 €,0.93 €,39.95 €,543.16 €,"1,107.60 €",0.13 €,2.66,1.38 €,12.00 €,"21,750.00 €",2.66 €,1.50 €,1.86 €,"12,576.00 €",9.20 €,2.50 €,1.58 €,1.64 €,1.27 €,"1,474.04 €",7.00 €,52.00 €
0.91 €,12.00 €,"24,120.50 €",476.94 €,5.10 €,0.83 €,"1,089.42 €",1.04 €,1.96 €,81.44 €,34.67 €,5.00 €,653.51 €,30.00 €,13.02 €,30.38 €,3.12 €,9.33 €,1.13 €,"3,682.84 €",Tallinn,75.95 €,345.25 €,1.51 €,2.35 €,1.54 €,7.33 €,93.22 €,1.53 €,25.46 €,257.45 €,0.78 €,8.00 €,1.91 €,0.80 €,49.11 €,774.09 €,"1,477.25 €",0.04 €,2.12,1.38 €,12.00 €,"25,000.00 €",2.45 €,1.50 €,1.80 €,"6,279.00 €",9.00 €,2.59 €,1.28 €,1.81 €,1.90 €,"2,547.19 €",7.00 €,60.00 €
12.49 kr,600.00 kr,"283,321.83 kr","8,937.88 kr",60.00 kr,9.43 kr,"19,448.72 kr",13.61 kr,19.28 kr,823.50 kr,358.80 kr,55.00 kr,"12,259.44 kr",545.00 kr,110.97 kr,186.70 kr,41.60 kr,91.03 kr,21.08 kr,"55,015.12 kr",Copenhagen,742.19 kr,"3,707.50 kr",13.52 kr,33.17 kr,19.77 kr,79.02 kr,"1,157.96 kr",19.04 kr,256.94 kr,"1,525.13 kr",10.76 kr,65.00 kr,17.24 kr,17.00 kr,304.17 kr,"14,452.63 kr","25,184.95 kr",0.86 kr,1.70,13.64 kr,140.00 kr,"280,000.00 kr",29.38 kr,24.00 kr,15.51 kr,"57,488.89 kr",120.00 kr,50.00 kr,17.46 kr,16.48 kr,22.72 kr,"37,462.50 kr",90.00 kr,800.00 kr
20.12 kr,500.00 kr,"341,829.41 kr","11,992.68 kr",150.00 kr,22.96 kr,"22,280.00 kr",20.86 kr,27.32 kr,"1,109.84 kr",399.40 kr,100.00 kr,"14,047.20 kr",845.00 kr,298.74 kr,299.33 kr,44.03 kr,118.97 kr,35.47 kr,"91,463.77 kr",Oslo,871.89 kr,"3,254.61 kr",32.53 kr,40.03 kr,28.64 kr,136.22 kr,"1,156.67 kr",27.59 kr,446.50 kr,"2,228.63 kr",22.87 kr,160.00 kr,30.02 kr,15.00 kr,452.26 kr,"17,682.86 kr","39,142.04 kr",0.99 kr,3.05,25.08 kr,200.00 kr,"350,000.00 kr",38.42 kr,40.00 kr,22.81 kr,"94,668.75 kr",175.00 kr,100.00 kr,21.03 kr,42.18 kr,30.50 kr,"65,019.64 kr",120.00 kr,"1,100.00 kr"
14.90 kr,525.00 kr,"330,000.00 kr","11,354.97 kr",70.00 kr,14.57 kr,"24,936.64 kr",15.58 kr,28.60 kr,"1,039.88 kr",424.40 kr,75.00 kr,"15,798.20 kr",970.00 kr,199.52 kr,381.61 kr,41.80 kr,107.19 kr,28.99 kr,"113,187.37 kr",Stockholm,913.93 kr,"1,396.20 kr",20.66 kr,41.68 kr,31.97 kr,128.84 kr,"1,431.17 kr",21.08 kr,344.12 kr,"1,288.10 kr",14.74 kr,120.00 kr,31.59 kr,35.00 kr,478.37 kr,"17,441.18 kr","32,626.81 kr",1.75 kr,3.49,24.55 kr,131.01 kr,"300,000.00 kr",43.51 kr,39.00 kr,21.77 kr,"80,142.86 kr",150.00 kr,59.50 kr,27.76 kr,24.75 kr,23.03 kr,"68,799.56 kr",96.00 kr,800.00 kr
379.72 kr,"9,177.00 kr","5,825,307.69 kr","194,007.34 kr","1,650.00 kr",285.40 kr,"330,206.90 kr",215.10 kr,346.74 kr,"18,437.14 kr","5,900.00 kr","1,300.00 kr","222,941.32 kr","9,000.00 kr","3,750.53 kr","5,728.57 kr",634.77 kr,"1,991.84 kr",466.20 kr,"835,913.00 kr",Reykjavik,"14,951.33 kr","38,138.08 kr",421.64 kr,813.89 kr,440.95 kr,"2,532.83 kr","23,660.83 kr",278.41 kr,"8,631.76 kr","12,463.31 kr",199.51 kr,"2,749.50 kr",424.00 kr,404.00 kr,"9,060.00 kr","274,285.71 kr","508,943.23 kr",7.86 kr,6.27,387.76 kr,"2,705.18 kr","5,195,000.00 kr",672.36 kr,550.00 kr,324.08 kr,"831,666.67 kr","1,900.00 kr",730.00 kr,288.67 kr,354.14 kr,358.00 kr,"607,707.05 kr","2,099.50 kr","15,000.00 kr"
0.96 €,53.40 €,"30,539.50 €",770.66 €,9.70 €,1.58 €,"1,819.66 €",1.07 €,2.02 €,70.78 €,32.91 €,8.00 €,947.43 €,65.30 €,18.64 €,24.86 €,4.15 €,7.33 €,2.28 €,"6,952.96 €",Helsinki,83.12 €,289.22 €,2.63 €,2.75 €,2.16 €,10.15 €,104.95 €,1.74 €,18.03 €,100.85 €,1.39 €,12.00 €,2.18 €,1.20 €,33.35 €,"1,292.07 €","3,147.00 €",0.06 €,1.11,1.94 €,13.60 €,"32,000.00 €",3.90 €,3.10 €,2.09 €,"6,450.00 €",15.90 €,6.90 €,1.59 €,3.06 €,2.42 €,"4,142.73 €",9.00 €,80.00 €
1.86 BYN,20.00 BYN,"76,915.85 BYN",656.32 BYN,5.00 BYN,1.76 BYN,"2,007.89 BYN",2.09 BYN,5.03 BYN,264.15 BYN,117.01 BYN,3.39 BYN,"1,026.87 BYN",45.91 BYN,21.18 BYN,42.79 BYN,4.66 BYN,19.70 BYN,1.80 BYN,"4,909.74 BYN",Minsk,181.04 BYN,"1,086.87 BYN",2.78 BYN,3.67 BYN,3.10 BYN,11.27 BYN,325.14 BYN,1.26 BYN,33.44 BYN,156.60 BYN,2.20 BYN,25.00 BYN,3.70 BYN,1.00 BYN,99.81 BYN,"1,262.11 BYN","1,491.77 BYN",0.13 BYN,19.98,3.96 BYN,25.00 BYN,"58,081.26 BYN",6.22 BYN,0.90 BYN,2.48 BYN,"16,333.60 BYN",12.00 BYN,4.02 BYN,4.89 BYN,4.76 BYN,2.29 BYN,"3,096.08 BYN",15.00 BYN,120.00 BYN
